Site,Year,TimePeriod,dN15,Percent_N,Percent_C,C_to_N_ratio,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Date,Time,Latitude,Longitude,Distsance.to.crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon
31,2016,2016-July,4.68,0.35,NA,NA,NA,NA,NA,NA,NA,NA,-17.59795985,-149.8038875,661.3,783.44,2988.97,212.1,783.44,Ma'atea,SW,Mid lagoon,Maatea
32,2016,2016-July,4.555,0.33,NA,NA,NA,NA,NA,NA,NA,NA,-17.59291001,-149.7998923,576.01,609.09,2294.73,76.72,609.09,Ma'atea,SE,Mid lagoon,Maatea
33,2016,2016-July,5.06,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.58718274,-149.7909091,146.28,1040.07,1288.52,426.5,1040.07,Ma'atea,SE,Reef crest,Maatea
34,2016,2016-July,4.46,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-17.58067293,-149.7936002,715.64,462.98,815.17,115.53,697,Ma'atea,SE,Mid lagoon,Maatea
35,2016,2016-July,4.8,0.52,NA,NA,NA,NA,NA,NA,NA,NA,-17.58383224,-149.7985487,1040.17,157.41,1436.85,60.1,157.41,Ma'atea,SE,Fringing reef,Maatea
36,2016,2016-July,4.9,0.5,NA,NA,NA,NA,NA,NA,NA,NA,-17.57943392,-149.7968348,1060.36,100.49,997.76,7.85,464.16,Ma'atea,SE,Fringing reef,Maatea
37,2016,2016-July,4.83,0.6,NA,NA,NA,NA,NA,NA,NA,NA,-17.57349375,-149.7942877,855.19,245.76,723.21,10.42,1146.81,Ma'atea,SE,Fringing reef,Maatea
38,2016,2016-July,5.27,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.56786983,-149.7925031,743.42,71.41,789.05,16.36,1531.14,Afareaitu,SE,Fringing reef,Haumi
39,2016,2016-July,4.61,0.45,NA,NA,NA,NA,NA,NA,NA,NA,-17.57239278,-149.7883265,212.17,531.66,144.03,6.98,1634.15,Ma'atea,SE,Reef pass,Haumi
40,2016,2016-July,4.95,0.36,NA,NA,NA,NA,NA,NA,NA,NA,-17.57566885,-149.7885266,247.25,762.66,47.99,10.44,1360.37,Ma'atea,SE,Reef pass,Maatea
41,2016,2016-July,4.37,0.34,NA,NA,NA,NA,NA,NA,NA,NA,-17.57019438,-149.7873946,158.87,560.67,286.59,186.46,1577.78,Afareaitu,SE,Reef crest,Haumi
